mvliking,age,income,miles,numkids,female,educ,recycle,cluster
4,34,59,14,1,0,1,3,2
6,36,79,16,1,0,3,4,3
3,51,72,22,2,1,3,3,1
3,32,42,12,0,0,3,2,3
1,40,75,17,1,1,3,4,1
2,43,94,16,0,0,3,5,1
8,47,38,26,2,1,4,3,3
4,29,39,16,1,0,2,2,2
5,38,129,20,1,0,3,2,1
3,26,26,11,0,0,2,3,2
1,31,20,12,0,1,3,3,2
3,43,136,17,0,0,3,1,1
4,37,49,13,1,1,3,3,2
7,46,61,18,1,1,3,4,1
6,52,119,28,3,1,3,3,3
6,39,28,29,2,1,4,3,3
9,43,113,17,0,0,4,4,3
4,36,124,23,3,0,3,2,3
1,48,58,21,1,1,3,4,2
3,35,51,19,1,1,3,4,2
7,28,23,8,0,0,2,4,2
1,28,29,16,1,1,2,3,2
7,58,166,29,2,1,3,2,3
2,41,63,18,0,0,3,5,2
5,36,33,18,2,0,3,2,2
1,50,128,26,3,1,4,1,1
1,23,23,17,3,1,1,1,2
9,50,168,27,3,1,3,3,3
1,44,61,21,4,1,3,3,2
3,44,52,25,2,1,3,3,1
1,27,22,13,0,0,1,3,2
6,56,214,17,2,1,4,3,1
9,36,38,13,0,0,1,4,2
7,51,70,25,0,1,4,2,1
9,52,80,25,2,1,4,4,1
3,49,147,27,4,1,3,2,1
1,41,62,20,1,1,4,3,1
6,38,79,16,2,0,3,2,3
5,50,147,19,1,0,3,3,1
9,55,91,14,1,1,3,4,1
4,46,125,20,1,1,4,3,3
2,35,64,17,1,1,2,2,2
4,46,37,17,1,0,2,2,2
1,34,31,16,1,1,2,4,2
2,37,30,16,3,1,3,2,2
6,48,97,22,2,1,4,3,3
1,30,23,24,3,1,1,1,2
6,48,99,24,4,1,1,2,1
3,44,57,19,2,0,3,3,1
6,33,24,16,0,0,2,3,2
5,47,128,20,1,0,4,2,1
7,51,74,19,3,1,3,2,1
1,25,21,20,1,1,3,4,2
1,43,100,15,0,0,3,4,1
4,37,46,19,1,1,2,3,2
5,41,53,21,4,1,3,4,2
4,36,59,12,1,0,1,1,3
4,50,109,21,3,1,3,3,1
6,40,80,26,3,1,2,2,3
1,36,33,21,2,1,2,2,2
1,46,121,13,0,1,4,4,1
1,35,22,23,1,1,3,2,2
4,28,39,12,0,0,1,2,2
2,23,21,9,0,1,1,4,2
5,35,53,20,1,1,3,4,3
6,28,18,13,0,1,1,3,2
1,40,25,24,2,1,3,5,2
7,44,40,22,2,1,4,4,3
8,38,65,10,0,0,3,2,3
4,37,87,17,0,1,4,5,1
5,54,103,26,1,1,4,5,3
3,23,29,12,1,0,1,3,2
5,34,36,16,1,1,1,4,2
9,53,67,14,1,0,4,4,1
4,43,113,14,1,0,3,4,1
1,33,41,16,2,1,3,4,2
2,31,37,15,0,1,3,4,2
5,38,89,13,0,1,4,4,1
3,31,34,7,0,0,2,2,2
8,36,86,17,2,1,3,3,3
1,42,69,18,1,1,3,2,1
1,22,25,16,0,1,3,4,2
2,38,58,12,0,1,3,1,2
1,32,24,18,2,1,1,2,2
5,39,80,21,2,1,3,2,1
6,40,52,11,0,0,2,3,2
7,30,24,16,1,0,1,3,2
3,46,75,24,2,1,4,3,1
2,42,82,19,1,1,2,1,2
1,30,36,17,1,0,1,3,2
8,52,88,21,2,0,3,4,1
9,40,73,17,3,0,2,2,3
5,29,47,16,1,0,1,5,2
4,48,82,24,2,1,4,2,3
2,35,89,12,0,0,2,3,1
7,47,164,17,0,0,4,3,1
6,46,126,15,0,0,4,3,1
4,24,31,14,0,1,2,3,2
9,35,32,14,1,0,3,2,2
1,33,38,10,0,0,2,2,2
2,35,34,15,1,1,2,4,2
5,50,93,20,1,1,3,4,1
9,27,27,11,0,0,2,3,2
4,35,22,17,2,0,1,2,2
8,41,57,12,0,0,3,3,2
4,37,60,21,2,0,2,2,3
6,41,61,20,2,1,2,4,2
9,43,51,28,3,1,3,3,3
4,43,273,20,1,1,4,4,1
2,46,130,20,2,0,3,2,1
6,45,110,27,3,1,4,3,3
5,52,111,27,3,1,3,2,3
1,26,32,13,1,1,1,1,2
5,42,81,18,1,0,3,4,3
1,34,26,17,0,1,3,5,2
9,36,48,17,1,0,3,2,3
6,44,112,22,1,1,4,3,3
5,33,35,16,1,0,1,3,2
7,38,31,20,1,0,3,3,2
4,24,28,12,0,0,1,3,2
3,39,80,16,1,0,3,3,1
4,30,32,11,0,0,3,3,2
3,45,47,26,3,1,2,2,3
4,43,68,10,0,0,3,4,1
6,39,49,11,0,0,3,3,3
1,41,34,16,1,1,2,4,2
5,32,56,14,0,0,2,4,2
3,36,27,13,1,1,2,3,2
8,54,102,22,2,1,4,5,3
5,32,33,15,2,1,1,3,2
1,43,52,22,1,1,3,3,1
7,42,70,24,1,1,4,2,1
9,50,124,19,1,0,3,1,1
8,42,58,10,0,0,3,2,3
9,46,131,13,0,0,1,1,3
1,31,78,13,0,0,3,5,1
9,46,134,11,0,0,3,2,1
5,56,129,18,1,1,4,2,1
8,31,39,22,2,1,4,4,3
6,43,73,19,1,0,3,3,3
6,37,35,22,2,1,3,4,3
5,46,181,17,0,1,4,4,1
5,28,26,14,0,0,2,3,2
7,34,45,13,1,1,2,2,2
7,47,40,19,0,0,4,5,3
3,34,24,15,1,1,3,1,2
1,43,68,23,3,1,3,3,3
1,47,65,25,2,1,4,3,3
4,39,71,16,0,1,3,2,2
3,33,72,17,1,0,3,4,2
5,44,64,15,1,0,3,4,1
4,23,21,13,0,0,2,5,2
9,53,53,24,2,0,3,1,3
6,38,105,21,1,0,3,2,3
1,42,66,20,1,1,3,2,1
3,24,24,17,1,1,2,3,2
9,50,140,26,3,1,4,1,3
4,26,35,14,0,0,2,4,2
7,45,79,12,0,0,4,2,1
7,56,128,18,2,0,2,1,3
7,40,66,21,2,0,3,1,3
4,42,72,15,1,0,3,5,1
9,42,76,16,1,0,3,5,3
2,31,27,18,1,0,1,4,2
6,41,70,23,2,1,3,5,2
